text,BIO_anno,class,bank_topic
还有一个月就知道能不能3加1了。目前9行，销了一个,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,2,招商银行
苏州银行给外地卡办盾吗？那个网点？,B-BANK I-BANK I-BANK I-BANK O O O O O O O O O O O O O,2,工商银行
什么卡种？招行首卡不上门？？,O O O O O B-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O,2,招商银行
出数字说明你不在黑名单里，可以放心了,O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
942了就要等出了才行，不然没啥好办法，不想等的话就搬大量砖，比如50以上，然后让理财经理帮忙协调出942。,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O,2,工商银行
我真的用过。别想了,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,工商银行
没必要，白白给年费，你是钱多吗,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2,中信银行
我算了下，要刷50万才可以无损……,O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
请教一下怎么合理利用生日十倍呀，感觉很吃力呢,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O,2,招商银行
用卡号绑定微信,O O O O O O O,2,中国银行
这方案不错，要不要失业证明啥的？,O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,民生银行
已经出了额度吗,O O O O B-COMMENTS_N I-COMMENTS_N O,2,中信银行
我也是，农行说要等半年才能再用。,O O O O B-BANK I-BANK O O O O O O O O O O,2,农业银行
冷冻了一个月，不管用,B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,招商银行
半年,O O,2,招商银行
几年前，工行都批了10K,O O O O B-BANK I-BANK O O O O O O,2,
老哥这是要领低保？,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
哦哦那就好，6+1是第六个月出账单的第二天吗,O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,招商银行
额度报喜,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,1,建设银行
中信信用卡，同时申请两张，一张批核成功和一张初审通过，有什么区别,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,中信银行
优秀，已经翻车快一年了，，，,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O,2,民生银行
啥记仇不记仇的??要是资质好??哪家银行都争着抢着要客户说白了还是自己不值钱??跟找工作一个道理我认为拒就一个原因自己不够幼稚??...,O O B-COMMENTS_ADJ O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,
手机银行-信用卡-分期通,B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT O B-PRODUCT I-PRODUCT I-PRODUCT,2,建设银行
心里有点不爽啊,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,工商银行
民生银行50,B-BANK I-BANK O O O O,2,
只有中国银行可以兑换？？？,B-COMMENTS_ADJ I-COMMENTS_ADJ B-BANK I-BANK I-BANK I-BANK O O O O O O O,2,中国银行
灰名单,O O O,2,工商银行
这样的情况就是不需要你再操作什么了，直接提额,O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,
今天招商又给我打电话了，说还是分48期，我没有同意，我说六十期，前面两年一个月少还点，后面多还点，招商不同意，说就算60期一个月最低还款额也得1350元，可我真的承受...,O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O B-COMMENTS_ADJ O O O B-BANK I-BANK O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,招商银行
首卡送，反正浦发就是的,B-PRODUCT I-PRODUCT O O O O B-BANK I-BANK O O O,2,
刚打的客服，说这张卡还没有正式发行，即使通过了，也不会收到卡片，坑不坑,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O B-COMMENTS_ADJ,2,
打电话给客服问怎么回事。效率这么低,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ,2,
这个问银行，没出公告停止了啊，太不厚道了吧,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
我不激活是不是自动就消了？消了后下次再申请会不会很难呢,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,农业银行
除了申请大白卡，小建基本没有靠申卡曲线提额的可能。,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_N I-COMMENTS_N O O O O,2,建设银行
刷爆的话就是刷到三万多么，不一定，交通银行刷爆就不给刷了,O O O O O O O O O O O O O O O O O B-BANK I-BANK I-BANK I-BANK O O O O O O O,2,
在建行代发工资快10年了，上次给了5W多额度，一次性刷出来，后面提前了半年一次性还清，结果额度清零不给了...,O B-BANK I-BANK O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,建设银行
我们的是中行来单位推荐的人手一张申请到收卡3周,O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O,2,中国银行
R00可以一试吗{:1_1:},O O O O O O O O O O O O O O O,2,建设银行
存了也没屁用,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,0,建设银行
可能给原油宝整的大伤元气，缩减营销经费了,O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,中国银行
提的快吗,O O B-COMMENTS_ADJ O,2,建设银行
现在老农只要按揭房没有公积金不太好办农业他们自己有个白名单是那个单位的都可以申请网捷贷;P,O O O O O O B-PRODUCT I-PRODUCT O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,农业银行
老哥，这卡有银联通道吗？只有visa的话在国内用不了啊，visa没有支付牌照，也绑不了微信支付宝吧。,O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,工商银行
比工行密码器质量好多了，是不锈钢材质的,O B-BANK I-BANK O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,民生银行
这个厉害了,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
中国银行积分值钱吗？36块钱换30000积分赚不赚好像现在中国银行不能积分换话费了,B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK I-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ B-PRODUCT I-PRODUCT O O O O,2,中国银行
我卡也没有，感觉要凉凉了,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
对于运输，您可以在几秒钟内填写任何内容。如果几秒钟都拿不到，那就必须有工作座机,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,民生银行
征信可以的，并不是征信好，申请卡就都得过,B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_ADJ O O O O O O O O,2,工商银行
前天刚激活生肖白，APP上显示消费15笔或1万免年费。,O O O B-COMMENTS_N I-COMMENTS_N B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
我也网上玩时时彩。。看来我要小心了,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
磁县的，最近的网点在安阳。。,O O O O O O O O O O O O O O,2,招商银行
小黑问题不大，小昭首提难破，破了3+1还是比较稳的，按小额多笔的思路来，支付宝，微信，云闪付轮番上阵，上十足买个打火机一两块钱的也用上，中间穿插几笔大额的Tx...,O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2,招商银行
搞的我也想试下,O O O O O O O,2,中国银行
倒一倒，银行就认为你是理财客户,O O O O O O O O O O O B-PRODUCT I-PRODUCT O O,2,工商银行
今天还了一半，剩下25000分期了，我的分期手续费特别高，年化13.59了,O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O B-COMMENTS_N I-COMMENTS_N O O O O O O,0,工商银行
转帐用U盾,O O O B-PRODUCT I-PRODUCT,2,工商银行
事业单位，没有预审批,O O O O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N,2,建设银行
2017年成了呆账,O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,工商银行
问下楼主拿了多大价值的房产办下来的？,O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O,2,民生银行
用了多久了？大山白也那么难提额？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O,2,建设银行
通联支付有积分,O O B-COMMENTS_N I-COMMENTS_N O B-PRODUCT I-PRODUCT,2,民生银行
都是主动提前还的，你满足还款日期了吗，不能主动还？,O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,建设银行
你们消停点吧，最近便宜了抓的也严,O O O O O O O O O O O O O O O B-COMMENTS_ADJ,2,建设银行
每期账单就几十元，也是稳定题？厉害了,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
这机器人当的??纯灌水啊,O O O O O O O O O O O O,2,
买理财也不能升星了？,O B-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ O O O,2,工商银行
名下有一辆20的车，额度会不会高,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_ADJ,2,
二卡秒批，今天来短信说已寄出了,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O,2,中国银行
我也收到了一天不知道怎么办不接,O O O O O O O O O O O O O O O,2,交通银行
黑白菜要刷20万才能免次年，确实有点费劲,O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
6期账单了，连临时也没,O O B-COMMENTS_N I-COMMENTS_N O O O O O O O,2,民生银行
大妈分期还能超限的吗??你什么卡种啊,O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O O,2,
就说没有也没事吧。卡在你手上，她还能抢过去不成，不给你激活就换一家,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O,2,中信银行
就是这两个，微信支付宝扫66达标，目前有名额,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,民生银行
建行40k,B-BANK I-BANK O O O,2,招商银行
无卡通道是啥啊,B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O,2,建设银行
工行3k-50k,B-BANK I-BANK O O O O O O,2,建设银行
我不知道啊，我是支付宝里天天推送给我招行的信用卡，说什么额度高，秒下，我就点链接填了，然后居然填了身份证名字地址，然后提交就完成了……居然连工作收入啥的都不用...,O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O B-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
水哥一枚,O O O O,2,工商银行
农行悠然白70K,B-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O,2,交通银行
我一般半年不上菜卡，菜卡额度都低,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
临额都不用吗？,B-COMMENTS_N I-COMMENTS_N O O O O O,2,招商银行
哪里可以看到活动，是银行app么？工行的,O O O O O O O O O O O O O O O O O B-BANK I-BANK O,2,
不仅要上门??有时还要换种方式存钱,O O O O O O O O O O O O O O O O O,2,
手机达到到500万，相当高了,O O O O O O O O O O O O B-COMMENTS_ADJ O,2,
你咋不问问我呢？我三年从8K到149K，太开心了,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
官网上显示的是双标带芯片，支持刷卡、插卡、挥卡但会出visa和unionpay的选项,O O O O O O O B-PRODUCT I-PRODUCT O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O,2,中国银行
我也接到过分期电话，感觉是个外包，直言我大额消费什么的，我说我是真实消费可以提供凭据，你竟敢威胁我我...,O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,中国银行
现今社会很无奈！,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,民生银行
老哥看你怎么想，如果能转开就没事，转不开提前分期以防后患，工行降额潮一直在，我以前也担心过两年了现在降额了，之前想分期，没舍得手续费。...,O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O B-BANK I-BANK B-COMMENTS_ADJ O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-COMMENTS_ADJ O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O O O O,2,工商银行
楼主后来提了没有啊？,O O O O O O O O O O,2,民生银行
大妈行??,O O O O O,2,
为了推荐4k的固定量，申请两张被拒通票...中国银行天旭，,O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O B-BANK I-BANK I-BANK I-BANK O O O,2,中国银行
我这里的建行想办大额，看重的最容易的就是房产证,O O O O B-BANK I-BANK O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
已经10行以上的就不想了，不会那么多的,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ O,2,
额度占用信用卡额度，那就不值得用了吧,B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,工商银行
打电话怎么申请临额得？？？我也想试试,O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O,2,工商银行
到七星一般多少次目前六星,O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,工商银行
你怎么才3k，不过好养的，我标准金下卡15k，用了近6个月首提到19k还挺不错的！,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ O O O O B-PRODUCT I-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
提额更难了,B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ O,0,建设银行
哈哈哈，大妈记忆力这么好啊！,O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,工商银行
民生多久提一次额度，下卡7个月吧还没动静,B-BANK I-BANK B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_N I-COMMENTS_N O O O O O O O O,2,民生银行
兄弟??你广发怎么用的16w了？,O O O O O B-BANK I-BANK O O O O O O O O O,2,
稳拒，愿你怀孕了,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,建设银行
民生还是很容易提的，多刷就能提，风控也松,B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,民生银行
一般增加多久呢,O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,招商银行
我有储蓄卡??都是直接邮寄给我的,O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O,2,
不知道有没有额度到期还完后续借成功的，通过概率大不大。,O O O O O O B-PRODUCT I-PRODUCT B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O O O O,2,招商银行
系统已经拉你黑名单，你怎么申请都没有用，要不换个分行试试。说不定就成功了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
浦发大额也多,B-BANK I-BANK B-COMMENTS_ADJ O O B-COMMENTS_ADJ,2,工商银行
可以线下去申请中信银行的信用卡，比较好申请,O O O O O O O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,
充话费专用,O O O O O,2,民生银行
是吗？那是我记错了？因为我是中信和邮储一起申请的，可能是邮储信用卡需要填写这些信息吧！你能不能截图给我看看中信网申都要写哪些资料啊...,O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O B-BANK I-BANK O O O O O O O O O O O O O,2,中信银行
达不到啊。所以一看到也吓一跳,B-COMMENTS_ADJ I-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O,2,工商银行
我去年点了短信然后加了个征信,O O O O O O O O O O O O B-PRODUCT I-PRODUCT,2,工商银行
中信颜卡3k→16k,B-BANK I-BANK O O O O O O O O,2,中信银行
明天有结果了吧，看下额度多少,O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,
最优还款是什么意思呢,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_N I-COMMENTS_N O O O O O O,2,工商银行
不是吧我之前看过是三期0.41六期以上都是0.38啊，分期就是这个手续费啊,O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O B-COMMENTS_N I-COMMENTS_N I-COMMENTS_N O,2,
牛逼克拉斯,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O,2,民生银行
大概率是失败??这样都好几次了??明明显示能提额??提交后??过不了多久??短信就来了??提额失败,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
塑料管很满是个什么意思:L,O O O O B-COMMENTS_ADJ O O O O O O O O,2,建设银行
不能直接还信用卡什么的，你这也不问问,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O,2,工商银行
我只有一张一直在用的中行普通卡，三无人员，0征信，怎样能办理1w左右的信用卡啊？,O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O B-BANK I-BANK O O O O O O O O O O B-PRODUCT I-PRODUCT O O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O,2,中国银行
你现在还了吗？,O O O O O O O,2,工商银行
资质不行没办法啊，信用卡都不能办,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O,2,
提额根本不参考这些信息。,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O,2,民生银行
你跟工作人员说他就给你弄了,O O O O O O O O O O O O O,2,工商银行
其他野鸡行全已销户,O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N,2,中国银行
下卡快两年了一分未提，三万是个坑,B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_ADJ,2,民生银行
"问下你的红箱子收到了吗，我的显示发的邮政，在北京发出6,7天物流没显示更新信息了",O O O O O O O O O O O O O O O O O O B-BANK I-BANK O O O O O O O O O O O O O O O O O O O O,2,民生银行
别人秀卡，你们秀老婆，过分,O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,工商银行
非柜了不销留着干嘛还两年，果断注销,O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,
不想和楼主说话，神人，额度那么高,O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-COMMENTS_ADJ,2,
2.浦发120K2105,O O B-BANK I-BANK O O O O O O O O,2,
负债太高，不是卡的原因,B-PRODUCT I-PRODUCT B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O,2,建设银行
现在情况怎样？关心下，望回复,O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O,2,农业银行
可能有的人是强迫症，但是信用信息不是天天拉的，只要不是,O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O,2,工商银行
民生付都只有好玩的分。?只靠刷实体,B-BANK I-BANK O O B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,2,民生银行
加油老哥,B-COMMENTS_ADJ I-COMMENTS_ADJ O O,2,招商银行
下的都是彩卡何必呢1-2w你未必会激活先养征信吧卡多不好提你招商不是5w了吗,O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O B-BANK I-BANK O O O O O O,2,交通银行
有公积金线下申请去吧，基本稳过。,O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,建设银行
上次邮储放水都没通过，,O O O O O O O O O O O,2,招商银行
1111。有人吗？我信用卡办了一个月了还没收到，什么情况,O O O O O O O O O O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O,2,
招商50k，黑屋3年,B-BANK I-BANK O O O O O O O O,2,农业银行
这就有点过分了，装修中突然不给了，这不是坑人吗？这种情况好像可以起诉他们,O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O O O O O O B-COMMENTS_ADJ O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O,0,建设银行
真的假的哦,B-COMMENTS_ADJ I-COMMENTS_ADJ B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,中国银行
大神，还在吗,O O O O O O,2,招商银行
过了查不到额度,O O O O O B-COMMENTS_N I-COMMENTS_N,2,民生银行
4分多的牛,O O O O O,2,中国银行
现在重申怕是来不及了当天看到不过就立即联系客服应该还有机会,O O O O B-COMMENTS_ADJ O O O O O O O O O O O O O O O O O O O O O O O O,2,招商银行
同样的，听说建行卡多的不好提，我现在8张卡了,O O O O O O B-BANK I-BANK O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O O,0,建设银行
②广发银行丨飞越金丨25K（202011下卡）丨,O B-BANK I-BANK I-BANK I-BANK O B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O,2,建设银行
查了显示有积分mcc正常。又没在天书,O O O O O B-PRODUCT I-PRODUCT O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O,2,招商银行
哪位大佬发一下招呼订单的抽奖连接？着急求,O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O,2,
兑礼品。充话费试试，各种羊毛都可以薅起来，超值,O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
现在征信变成逾期10多个月？,O O B-PRODUCT I-PRODUCT O O B-COMMENTS_N I-COMMENTS_N O O O O O O,2,工商银行
银行又不管短期不短期??前几天去icbc办经营贷??审批人员直接答复5年内1次1秒的逾期都不行,O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
本想销了，无奈股票套住了。这个到底是额度内还是额度外,O O O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O B-COMMENTS_N I-COMMENTS_N O,2,中信银行
不值钱招行的额度太低,O O O B-BANK I-BANK O B-COMMENTS_N I-COMMENTS_N B-COMMENTS_ADJ I-COMMENTS_ADJ,2,
现在呢？??我比你晚7天,O O O O O O O O O B-COMMENTS_ADJ O O,2,
我去办说手机能转20万不给办??我就说以前有口令卡??丢失了??不能转账??就给办了,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O O O O O,2,
严格风险控制,B-COMMENTS_ADJ I-COMMENTS_ADJ O O O O,2,建设银行
没有优缺点吗？或者说选择性的差距？以及额度发展的速率,O O O O O O O O O O O O O O B-COMMENTS_ADJ I-COMMENTS_ADJ O O O B-COMMENTS_N I-COMMENTS_N O O O O O,2,工商银行
怎么用的平常，求姿势，我也想提额,O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N,2,
对呀，工商银行信用卡客服给我就是这么说的，异地续卡。激活要来开户行激活。或者用优盾或密码器在网上激活。,O O O B-BANK I-BANK I-BANK I-BANK B-PRODUCT I-PRODUCT I-PRODUCT O O O O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O B-COMMENTS_N I-COMMENTS_N O O O O O O O O O O O O O B-COMMENTS_N I-COMMENTS_N O,2,工商银行
